"TIME","Oxy.kg/m^3"
2021-07-14 03:05:00,0.00520389
2021-07-14 04:05:00,0.00527722
2021-07-14 05:05:00,0.00551749
2021-07-14 06:05:00,0.00582088
2021-07-14 07:05:00,0.0064781
2021-07-14 08:05:00,0.00818847
2021-07-14 09:05:00,0.00733928
2021-07-14 10:05:00,0.00892749
2021-07-14 11:05:00,0.00927709
2021-07-14 12:05:00,0.00895224
2021-07-14 13:05:00,0.00899611
2021-07-14 14:05:00,0.00941171
2021-07-14 16:00:00,0.00795882
2021-07-14 17:00:00,0.00752489
2021-07-14 18:00:00,0.00602404
2021-07-14 19:00:00,0.00550166
2021-07-14 20:00:00,0.00509515
2021-07-14 21:00:00,0.00497417
2021-07-14 22:00:00,0.00508353
2021-07-14 23:00:00,0.00520817
2021-07-15 00:00:00,0.00539132
2021-07-15 01:00:00,0.00554586
2021-07-15 02:00:00,0.00545596
2021-07-15 03:00:00,0.0056359
2021-07-15 04:00:00,0.00573564
2021-07-15 05:00:00,0.00631321
2021-07-15 06:00:00,0.00634967
2021-07-15 07:00:00,0.0069059
2021-07-15 08:00:00,0.00761261
2021-07-15 09:00:00,0.00759078
2021-07-15 10:00:00,0.00855632
2021-07-15 11:00:00,0.00923729
2021-07-15 12:00:00,0.00948726
2021-07-15 13:00:00,0.00986133
2021-07-15 14:00:00,0.0100115
2021-07-15 15:00:00,0.00936042
2021-07-15 16:00:00,0.00805898
2021-07-15 17:00:00,0.00715071
2021-07-15 18:00:00,0.00533035
2021-07-15 19:00:00,0.00453966
2021-07-15 20:00:00,0.00418562
2021-07-15 21:00:00,0.00372529
2021-07-15 22:00:00,0.00392424
2021-07-15 23:00:00,0.00410739
2021-07-16 00:00:00,0.00410572
2021-07-16 01:00:00,0.00428123
2021-07-16 02:00:00,0.00451624
2021-07-16 03:00:00,0.00456684
2021-07-16 04:00:00,0.00473813
2021-07-16 05:00:00,0.00495481
2021-07-16 06:00:00,0.00543486
2021-07-16 07:00:00,0.00613976
2021-07-16 08:00:00,0.00653366
2021-07-16 09:00:00,0.00720687
2021-07-16 10:00:00,0.00551781
2021-07-16 11:00:00,0.00528086
2021-07-16 12:00:00,0.0062744
2021-07-16 13:00:00,0.00673133
2021-07-16 14:00:00,0.00803788
2021-07-16 15:00:00,0.00605557
2021-07-16 16:00:00,0.00637433
2021-07-16 17:00:00,0.00420947
2021-07-16 18:00:00,0.00363131
2021-07-16 19:00:00,0.0037749
2021-07-16 20:00:00,0.00342928
2021-07-16 21:00:00,0.00336538
2021-07-16 22:00:00,0.00355022
2021-07-16 23:00:00,0.00348704
2021-07-17 00:00:00,0.00360434
2021-07-17 01:00:00,0.00373618
2021-07-17 02:00:00,0.00364559
2021-07-17 03:00:00,0.00399957
2021-07-17 04:00:00,0.00410508
